step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
299,CASH_IN,208584.8,C1454139094,8950486.7,9159071.5,C231581036,1184658.38,1197818.06,0,0
373,CASH_IN,40660.33,C1982414823,6016.0,46676.33,C1610203053,5137766.28,5097105.96,0,0
188,CASH_IN,119195.11,C1041831153,52334.0,171529.11,C134582687,69289.84,0.0,0,0
406,PAYMENT,13116.76,C934597700,154725.0,141608.24,M527776782,0.0,0.0,0,0
13,CASH_OUT,403821.17,C1238452079,16967.0,0.0,C1933551353,141469.74,545290.92,0,0
13,PAYMENT,3496.21,C491527084,180750.53,177254.32,M1408108546,0.0,0.0,0,0
166,CASH_IN,75986.73,C416616172,2531725.24,2607711.97,C319328991,175985.0,99998.27,0,0
140,CASH_OUT,138827.43,C766294369,0.0,0.0,C552435082,1246242.14,1385069.57,0,0
322,TRANSFER,298879.37,C1941484206,36450.0,0.0,C628805915,520957.49,819836.86,0,0
378,CASH_IN,125297.28,C97074400,258972.0,384269.28,C1172432132,558952.72,433655.44,0,0
373,CASH_IN,3900.29,C676097136,2411064.87,2414965.16,C932961301,952921.92,949021.63,0,0
202,CASH_OUT,9778.36,C1573782503,0.0,0.0,C23393118,858281.0,868059.36,0,0
393,PAYMENT,20495.66,C718663805,0.0,0.0,M1879981582,0.0,0.0,0,0
9,CASH_OUT,6500.02,C624196740,0.0,0.0,C631424220,376129.9,542587.38,0,0
161,CASH_OUT,25579.49,C1089532724,40391.0,14811.51,C1080157799,2402.0,27981.49,0,0
163,PAYMENT,2674.71,C1591499595,0.0,0.0,M1984986006,0.0,0.0,0,0
351,CASH_OUT,350111.21,C603534282,235812.74,0.0,C1792450010,3764374.46,4114485.67,0,0
263,CASH_OUT,96877.38,C703590228,0.0,0.0,C743319580,295272.95,392150.33,0,0
182,CASH_IN,589858.88,C1280186522,4035.0,593893.88,C1014710050,8276084.73,7686225.86,0,0
403,PAYMENT,10939.83,C1985863918,11002.0,62.17,M1515676359,0.0,0.0,0,0
48,PAYMENT,12361.21,C931110843,5040.0,0.0,M618754081,0.0,0.0,0,0
130,CASH_IN,438921.45,C1889586137,30669.0,469590.45,C129077530,2488.07,0.0,0,0
284,CASH_IN,116258.42,C1774382170,4589.0,120847.42,C82820838,69998.44,0.0,0,0
355,CASH_OUT,128498.02,C1973488327,51322.0,0.0,C268645838,1483544.17,1612042.19,0,0
374,PAYMENT,95436.31,C1508916443,0.0,0.0,M1970678778,0.0,0.0,0,0
19,TRANSFER,279405.03,C675055855,0.0,0.0,C1046291708,1403729.44,1535573.56,0,0
250,CASH_OUT,33229.67,C589848546,41227.0,7997.33,C1661265906,157629.87,190859.54,0,0
11,CASH_OUT,259992.01,C554779631,0.0,0.0,C297484187,539110.86,799102.87,0,0
373,PAYMENT,17359.14,C251850305,377496.0,360136.86,M623788299,0.0,0.0,0,0
182,PAYMENT,4918.96,C1981314331,0.0,0.0,M525589151,0.0,0.0,0,0
205,PAYMENT,9416.44,C1666212503,11627.0,2210.56,M1208345098,0.0,0.0,0,0
299,PAYMENT,28630.98,C105234634,0.0,0.0,M402578407,0.0,0.0,0,0
259,CASH_IN,193240.25,C1362465681,385156.0,578396.25,C1156771761,542972.87,578256.27,0,0
596,PAYMENT,10378.81,C1537134361,98111.0,87732.19,M1897084614,0.0,0.0,0,0
154,CASH_IN,198228.79,C1006044577,117566.0,315794.79,C1071384515,0.0,0.0,0,0
393,PAYMENT,44175.6,C1283390977,0.0,0.0,M975011576,0.0,0.0,0,0
229,PAYMENT,29708.01,C658018915,85997.0,56288.99,M293240462,0.0,0.0,0,0
275,CASH_OUT,33239.6,C2001912316,25494.0,0.0,C497394383,717412.61,750652.21,0,0
279,PAYMENT,11072.65,C2111616869,0.0,0.0,M769966175,0.0,0.0,0,0
130,CASH_IN,161820.41,C271864112,2643421.32,2805241.73,C671122352,1436775.22,1276047.52,0,0
384,PAYMENT,9488.14,C76655840,13926.0,4437.86,M331924524,0.0,0.0,0,0
211,CASH_OUT,232870.05,C1491164479,310786.33,77916.28,C2054246861,0.0,232870.05,0,0
347,PAYMENT,10157.24,C1060619095,30794.0,20636.76,M2080850648,0.0,0.0,0,0
322,PAYMENT,3792.37,C1253306560,21357.15,17564.78,M2005097534,0.0,0.0,0,0
349,CASH_OUT,302220.55,C584138033,0.0,0.0,C692081404,3929192.43,6079659.3,0,0
348,CASH_IN,302058.99,C254463837,15836.0,317894.99,C1346713988,446417.08,144358.09,0,0
253,CASH_OUT,3204.01,C1025716111,0.0,0.0,C694467732,892013.96,895217.97,0,0
228,CASH_OUT,103341.5,C1067152448,0.0,0.0,C306865302,698512.03,801853.52,0,0
329,CASH_OUT,156695.93,C490468141,0.0,0.0,C1354001583,1710565.88,1867261.81,0,0
404,PAYMENT,18224.19,C1151558045,65406.0,47181.81,M435303426,0.0,0.0,0,0
15,CASH_OUT,117810.04,C1501027550,291.0,0.0,C2145961947,8742710.66,8584967.21,0,0
16,CASH_OUT,47433.66,C1354528389,1524.0,0.0,C1345115367,45461.87,105768.45,0,0
44,CASH_IN,45831.46,C41935887,366923.47,412754.93,C1190354297,412403.81,366572.35,0,0
133,CASH_OUT,153538.88,C1229428824,13005.0,0.0,C1445494857,621343.42,774882.29,0,0
209,CASH_OUT,127590.61,C862705732,34868.0,0.0,C869304400,997129.14,1124719.75,0,0
299,PAYMENT,9025.68,C1414064282,0.0,0.0,M748391759,0.0,0.0,0,0
163,PAYMENT,2512.27,C1147277811,0.0,0.0,M445120963,0.0,0.0,0,0
396,CASH_OUT,124293.46,C806733527,0.0,0.0,C17160710,357503.67,481797.13,0,0
17,CASH_OUT,69041.65,C6801587,0.0,0.0,C1806717189,1782750.17,1538449.1,0,0
275,TRANSFER,226539.63,C1341535310,3012.0,0.0,C1466851810,0.0,226539.63,0,0
185,PAYMENT,1638.87,C668217912,175.0,0.0,M728558205,0.0,0.0,0,0
165,CASH_OUT,143058.95,C657644710,0.0,0.0,C504633208,204757.34,347816.3,0,0
308,CASH_IN,282253.11,C944154939,10936465.33,11218718.44,C922259915,1480035.84,1197782.73,0,0
251,TRANSFER,845592.88,C1627479440,201572.0,0.0,C1962952867,2366527.47,3212120.35,0,0
236,TRANSFER,551624.49,C1419684270,0.0,0.0,C711076274,1751257.56,2302882.06,0,0
132,CASH_OUT,199434.89,C1952296108,0.0,0.0,C953516263,1065758.15,1265193.04,0,0
302,CASH_OUT,175590.56,C1848392418,0.0,0.0,C1510333040,1132629.26,1308219.82,0,0
348,PAYMENT,2564.23,C668741884,620692.89,618128.66,M411672171,0.0,0.0,0,0
378,PAYMENT,11462.19,C1133862322,44157.0,32694.81,M957698222,0.0,0.0,0,0
354,CASH_OUT,122373.89,C826478214,1009.0,0.0,C690403065,0.0,122373.89,0,0
180,PAYMENT,17826.21,C247658739,51948.0,34121.79,M274738059,0.0,0.0,0,0
234,CASH_IN,230980.45,C843423628,10304593.81,10535574.26,C2133603561,1269839.46,1038859.0,0,0
139,CASH_OUT,109920.06,C1203159083,0.0,0.0,C508247694,3294573.07,3404493.13,0,0
403,CASH_OUT,213463.14,C246975026,0.0,0.0,C1336990976,371122.51,584585.64,0,0
274,PAYMENT,8355.46,C1801655044,0.0,0.0,M1979236042,0.0,0.0,0,0
349,CASH_OUT,112130.0,C1182609000,0.0,0.0,C10812306,426141.5,752947.13,0,0
474,CASH_IN,633711.1,C2032784537,5161.0,638872.1,C916447384,32909.26,0.0,0,0
252,CASH_OUT,39452.56,C377653506,0.0,0.0,C1049076401,23429939.72,23469392.28,0,0
35,CASH_OUT,19673.89,C1366354236,0.0,0.0,C1198620089,463915.86,483589.75,0,0
140,CASH_IN,294618.52,C273448676,7743812.76,8038431.28,C1512102755,2274818.02,1980199.5,0,0
225,CASH_OUT,317132.46,C1827558147,32217.0,0.0,C791586843,0.0,317132.46,0,0
36,PAYMENT,32745.63,C38355153,111569.49,78823.86,M2017784435,0.0,0.0,0,0
184,CASH_OUT,159426.95,C1671419050,0.0,0.0,C745815908,395180.46,982379.01,0,0
202,CASH_OUT,144283.85,C1178662447,0.0,0.0,C524995973,517007.27,661291.12,0,0
308,CASH_OUT,39785.82,C1806716913,112898.0,73112.18,C42983478,2716591.14,2756376.96,0,0
131,CASH_OUT,104334.61,C1673771591,0.0,0.0,C368667385,1797291.43,1901626.04,0,0
374,CASH_OUT,420581.56,C438088051,10591.0,0.0,C706400925,5466128.05,5886709.61,0,0
413,PAYMENT,949.2,C89276065,216289.0,215339.8,M1303807840,0.0,0.0,0,0
376,CASH_OUT,55049.34,C298499584,0.0,0.0,C1353512547,564035.19,619084.53,0,0
355,CASH_IN,242779.69,C1560044608,273204.0,515983.69,C1750780606,4112903.13,3870123.44,0,0
278,CASH_IN,174172.21,C1069098458,6703.0,180875.21,C1341696204,235626.27,61454.07,0,0
211,CASH_OUT,82241.65,C733425808,0.0,0.0,C245753230,143558.62,225800.28,0,0
179,PAYMENT,2540.17,C1408856366,0.0,0.0,M1234917387,0.0,0.0,0,0
354,TRANSFER,333445.95,C516705178,0.0,0.0,C1174197582,708704.13,1042150.08,0,0
311,CASH_IN,16815.67,C2045796677,3747276.16,3764091.83,C2079731422,670722.25,653906.58,0,0
283,PAYMENT,6267.3,C623086933,512.0,0.0,M174315289,0.0,0.0,0,0
277,PAYMENT,9746.21,C1789306404,0.0,0.0,M660857964,0.0,0.0,0,0
138,PAYMENT,39267.59,C1040238847,509664.48,470396.9,M30678218,0.0,0.0,0,0
41,CASH_IN,235540.72,C1697864535,5970620.86,6206161.58,C1438922231,247638.86,12098.13,0,0
305,CASH_OUT,178858.14,C1988172770,0.0,0.0,C2022123307,711134.65,889992.79,0,0
158,CASH_OUT,311956.91,C872035930,12019.0,0.0,C317809639,0.0,311956.91,0,0
42,CASH_OUT,57495.62,C129132306,41327.0,0.0,C1787024411,3009041.08,3066536.7,0,0
399,CASH_IN,92455.79,C736702461,12966313.67,13058769.46,C526662147,2575998.81,2483543.02,0,0
36,CASH_IN,40008.77,C294354465,23801.0,63809.77,C1512272491,63005.24,22996.46,0,0
332,PAYMENT,9911.43,C155204803,0.0,0.0,M966606058,0.0,0.0,0,0
358,PAYMENT,13363.93,C1830997742,125316.86,111952.93,M1457777304,0.0,0.0,0,0
15,CASH_IN,181316.11,C1565184023,252814.0,434130.11,C2099473765,1120844.38,939528.27,0,0
514,CASH_IN,31886.05,C195056445,152.0,32038.05,C1562783334,115461.65,83575.59,0,0
304,CASH_OUT,43392.05,C1961253053,0.0,0.0,C977009356,127350.38,170742.44,0,0
275,CASH_OUT,484200.55,C675098453,19896.0,0.0,C1600153998,83481.88,567682.43,0,0
236,CASH_OUT,269666.32,C2125925801,0.0,0.0,C1165642082,1471352.27,1741018.59,0,0
308,DEBIT,2547.8,C1353762592,20355.0,17807.2,C1359875498,1853780.56,1856328.36,0,0
404,PAYMENT,20255.28,C377450440,31439.0,11183.72,M214378136,0.0,0.0,0,0
211,CASH_IN,192490.48,C872909351,27264457.07,27456947.54,C2004819118,289752.0,97261.52,0,0
404,CASH_IN,22521.25,C1350800219,3837144.33,3859665.58,C1541966994,121876.5,99355.25,0,0
374,CASH_OUT,362651.97,C2068881121,23744.0,0.0,C318276712,412753.66,775405.63,0,0
177,CASH_IN,291899.68,C676578388,1042976.6,1334876.28,C1367699708,2525852.33,2233952.65,0,0
332,PAYMENT,519.05,C1530551697,21024.0,20504.95,M1243860549,0.0,0.0,0,0
160,CASH_OUT,162500.39,C2139270528,147836.0,0.0,C104290446,144431.36,306931.75,0,0
182,TRANSFER,486696.79,C1772182948,663324.0,176627.21,C1729056395,1199264.63,1685961.42,0,0
18,CASH_OUT,31241.02,C1852665415,541970.94,510729.93,C10665074,100908.0,132149.02,0,0
139,TRANSFER,87823.1,C660919574,25203.0,0.0,C642567132,3311435.59,3399258.69,0,0
308,CASH_OUT,164773.58,C610649251,0.0,0.0,C298636592,2170527.88,2335301.46,0,0
18,PAYMENT,5953.91,C691354771,9972.0,4018.09,M800528447,0.0,0.0,0,0
157,CASH_OUT,155852.45,C875513946,10924.0,0.0,C1206269131,9493497.65,10137318.59,0,0
382,PAYMENT,2393.2,C1172058047,186.0,0.0,M1135642033,0.0,0.0,0,0
281,PAYMENT,33335.02,C1248440277,0.0,0.0,M596702211,0.0,0.0,0,0
14,PAYMENT,4465.72,C1298956831,262492.87,258027.15,M441196706,0.0,0.0,0,0
19,PAYMENT,7362.3,C254414063,20369.0,13006.7,M683895962,0.0,0.0,0,0
255,CASH_IN,90093.42,C1495771956,1293535.14,1383628.56,C642275652,9189972.82,9099879.41,0,0
325,CASH_OUT,108467.41,C1616745886,9496.0,0.0,C1958678053,414769.17,523236.57,0,0
500,CASH_OUT,265947.16,C542238404,180072.0,0.0,C1303810658,1740471.55,2006418.7,0,0
137,PAYMENT,22967.64,C39927033,155580.0,132612.36,M952250168,0.0,0.0,0,0
404,CASH_OUT,50480.29,C199951809,0.0,0.0,C1724894812,1238875.35,1289355.65,0,0
227,CASH_OUT,223222.9,C708945121,874006.0,650783.1,C1412746504,110263.63,333486.53,0,0
254,CASH_OUT,14782.63,C1995760546,52366.0,37583.37,C140085071,0.0,14782.63,0,0
250,TRANSFER,1189550.38,C1695628675,46916.0,0.0,C536176496,0.0,1189550.38,0,0
170,TRANSFER,1568670.41,C259950051,0.0,0.0,C480277152,2768993.57,4337663.98,0,0
299,PAYMENT,16800.35,C370090328,0.0,0.0,M830211498,0.0,0.0,0,0
351,CASH_IN,58943.75,C497941084,24936192.66,24995136.4,C392581734,2201604.85,2142661.1,0,0
249,CASH_IN,202590.66,C1955893661,22326.0,224916.66,C527568240,1093226.17,890635.51,0,0
300,CASH_IN,285509.56,C244023397,11178.0,296687.56,C803005499,0.0,0.0,0,0
254,TRANSFER,1000763.68,C972914128,10138.0,0.0,C1816438604,1494757.38,2495521.06,0,0
155,CASH_OUT,175260.65,C557221901,51993.0,0.0,C172188178,5509.0,180769.65,0,0
17,CASH_OUT,280187.54,C276795713,0.0,0.0,C2004653597,4469100.25,4718624.22,0,0
345,CASH_IN,355315.58,C1336954897,8157589.98,8512905.56,C1624233855,808695.61,453380.03,0,0
327,CASH_OUT,28560.33,C296208799,10439.0,0.0,C1787674251,95007.18,123567.51,0,0
38,CASH_OUT,161123.48,C805313712,0.0,0.0,C1481087853,689033.89,850157.37,0,0
400,PAYMENT,25707.14,C342655797,81759.49,56052.35,M639396316,0.0,0.0,0,0
47,TRANSFER,612382.66,C1771441231,0.0,0.0,C1003009573,935463.85,1547846.5,0,0
372,CASH_OUT,277901.6,C1917402952,123029.0,0.0,C1520836360,205930.14,483831.74,0,0
11,CASH_IN,331330.96,C2132779704,279.0,331609.96,C1989726800,47059.0,0.0,0,0
186,TRANSFER,366345.72,C281929313,0.0,0.0,C777169528,807891.99,1174237.72,0,0
37,PAYMENT,7913.08,C1896188183,0.0,0.0,M1519491633,0.0,0.0,0,0
35,PAYMENT,19514.78,C1969895618,0.0,0.0,M378321271,0.0,0.0,0,0
11,CASH_OUT,131053.66,C1031567462,0.0,0.0,C2094996027,337573.58,194146.77,0,0
188,TRANSFER,1302.67,C1524957531,11602.0,10299.33,C194040554,1539654.56,1540957.23,0,0
162,CASH_OUT,266104.61,C1297990883,19878.0,0.0,C1023771377,893994.5,1160099.12,0,0
34,CASH_OUT,281318.11,C2093604165,40062.0,0.0,C1115327202,0.0,281318.11,0,0
281,PAYMENT,13624.96,C860331794,82390.61,68765.65,M505486709,0.0,0.0,0,0
15,PAYMENT,15660.11,C1139597361,33410.03,17749.92,M1748203609,0.0,0.0,0,0
154,CASH_OUT,202330.31,C402073619,0.0,0.0,C1184989162,1552115.81,1754446.13,0,0
9,CASH_OUT,280483.84,C1476707017,21518.0,0.0,C1779348438,0.0,750061.97,0,0
237,CASH_IN,149202.69,C1455585926,30747.0,179949.69,C2038715700,0.0,0.0,0,0
329,CASH_OUT,480655.63,C1662957283,0.0,0.0,C1328144199,483476.66,964132.29,0,0
203,PAYMENT,5213.32,C1848240431,53772.59,48559.27,M2014478888,0.0,0.0,0,0
394,CASH_IN,74613.33,C443416516,10199.0,84812.33,C2048391375,2809385.1,2734771.77,0,0
302,CASH_OUT,9498.76,C1333860993,0.0,0.0,C981005719,475468.84,484967.6,0,0
280,PAYMENT,14651.03,C926208426,0.0,0.0,M860618171,0.0,0.0,0,0
40,PAYMENT,3798.37,C1551771089,0.0,0.0,M1702563403,0.0,0.0,0,0
225,PAYMENT,43400.46,C589150894,7512.86,0.0,M1151106369,0.0,0.0,0,0
210,PAYMENT,2070.27,C167820715,4500.0,2429.73,M94970553,0.0,0.0,0,0
21,CASH_OUT,118316.39,C519926212,1564.96,0.0,C1059170331,122084.27,240400.65,0,0
213,CASH_IN,99650.53,C386394852,77369.0,177019.53,C915533443,0.0,0.0,0,0
349,PAYMENT,13000.83,C591664231,0.0,0.0,M1689658125,0.0,0.0,0,0
12,CASH_OUT,97660.37,C1621352386,0.0,0.0,C600543179,158622.35,256282.72,0,0
234,CASH_OUT,83755.82,C1022242854,60745.0,0.0,C1922222914,0.0,83755.82,0,0
333,CASH_IN,94232.56,C1602954765,5456307.06,5550539.62,C1741709599,1740888.03,1646655.46,0,0
40,CASH_OUT,279866.42,C1396979744,0.0,0.0,C883729558,2881439.81,3161306.23,0,0
688,PAYMENT,15518.91,C511723963,0.0,0.0,M161913511,0.0,0.0,0,0
160,CASH_IN,243076.36,C86107715,3155740.6,3398816.96,C1825122856,5598436.57,5355360.21,0,0
397,PAYMENT,6890.0,C190973743,0.0,0.0,M832472599,0.0,0.0,0,0
321,PAYMENT,18001.79,C387778633,0.0,0.0,M1625505788,0.0,0.0,0,0
371,PAYMENT,1849.61,C1192658085,98280.39,96430.78,M1900748884,0.0,0.0,0,0
14,TRANSFER,296393.15,C2005319193,2466.36,0.0,C1080503306,525693.73,958156.83,0,0
380,CASH_IN,195854.08,C1759210661,4041677.3,4237531.38,C1815081802,472416.43,276562.35,0,0
133,CASH_IN,449891.15,C2131504685,26257.0,476148.15,C1447681526,674210.35,224319.2,0,0
512,CASH_OUT,127120.88,C130072062,127120.88,0.0,C681167784,2605727.43,2732848.31,1,0
309,CASH_OUT,56700.4,C2102178789,25460.0,0.0,C1441371744,0.0,56700.4,0,0
188,CASH_OUT,216799.97,C255771820,308062.0,91262.03,C107095723,8744190.42,8960990.39,0,0
353,PAYMENT,25717.02,C686892882,8671.98,0.0,M627282882,0.0,0.0,0,0
334,PAYMENT,30979.35,C853269848,860.0,0.0,M347545466,0.0,0.0,0,0
236,CASH_OUT,309613.69,C1284899662,0.0,0.0,C48655719,504210.55,813824.24,0,0
355,CASH_OUT,110175.68,C888842463,0.0,0.0,C1193429684,248782.33,358958.01,0,0
283,CASH_OUT,197727.36,C1356245307,0.0,0.0,C288841476,493586.21,691313.57,0,0
157,TRANSFER,44652.09,C1508391128,0.0,0.0,C920228062,128284.81,172936.9,0,0
184,CASH_IN,95851.13,C1993725567,438.0,96289.13,C932103533,119195.41,23344.28,0,0
43,PAYMENT,709.8,C453425935,20056.0,19346.2,M463908022,0.0,0.0,0,0
332,CASH_OUT,38447.32,C1291747107,208137.13,169689.81,C385850980,168107.79,206555.12,0,0
306,CASH_OUT,149232.45,C1338655726,0.0,0.0,C942293242,1538759.17,1687991.62,0,0
284,TRANSFER,688998.77,C1379471048,146.0,0.0,C114136889,4056436.57,4745435.34,0,0
229,CASH_IN,213170.36,C52691968,410842.0,624012.36,C1690994770,656377.09,443206.73,0,0
401,CASH_OUT,89733.01,C2102211217,296.0,0.0,C2091503067,0.0,89733.01,0,0
288,PAYMENT,29351.82,C1001251702,64408.0,35056.18,M1205874757,0.0,0.0,0,0
323,TRANSFER,55555.3,C1825790815,0.0,0.0,C1280912398,6983861.96,7039417.26,0,0
351,CASH_OUT,136351.48,C484865679,0.0,0.0,C915536788,261884.01,398235.49,0,0
352,CASH_OUT,111814.82,C1079842315,0.0,0.0,C1518075547,621841.38,733656.19,0,0
299,PAYMENT,31044.36,C738562276,42629.0,11584.64,M889182118,0.0,0.0,0,0
210,TRANSFER,222093.61,C46077698,80278.0,0.0,C1221658602,6097883.1,6319976.71,0,0
36,CASH_OUT,288939.26,C470660712,31012.0,0.0,C1466378529,71292.03,178256.71,0,0
300,PAYMENT,67502.86,C1286241974,72422.0,4919.14,M1615405650,0.0,0.0,0,0
233,CASH_OUT,25236.0,C1637221824,7200.0,0.0,C162323272,0.0,25236.0,0,0
6,PAYMENT,24544.47,C467903124,11511.0,0.0,M860892414,0.0,0.0,0,0
282,CASH_OUT,75987.88,C255783968,0.0,0.0,C174401023,830512.98,906500.85,0,0
254,TRANSFER,63116.24,C508759281,0.0,0.0,C1096717888,825034.71,888150.95,0,0
394,CASH_OUT,207246.51,C770119024,0.0,0.0,C926570141,234510.36,441756.87,0,0
129,CASH_IN,354918.25,C686518034,0.0,354918.25,C1768301102,10716310.02,10361391.78,0,0
206,CASH_OUT,303459.22,C866498473,476.0,0.0,C934276417,504455.84,807915.06,0,0
44,CASH_IN,74237.65,C1805727312,5886218.92,5960456.57,C1547230629,394123.29,319885.64,0,0
186,CASH_IN,38298.23,C1090872732,20458.0,58756.23,C83273175,623054.56,584756.33,0,0
522,TRANSFER,408958.22,C745973393,0.0,0.0,C1272121890,797005.88,1205964.1,0,0
373,CASH_IN,288819.76,C162990856,21833.0,310652.76,C1245697471,1958260.35,1669440.59,0,0
19,CASH_OUT,21061.87,C299647114,30003.0,8941.13,C1606523013,500447.13,521509.0,0,0
201,PAYMENT,5702.96,C1401149851,40442.0,34739.04,M1440590247,0.0,0.0,0,0
380,PAYMENT,4691.69,C1623576236,65828.99,61137.3,M552087612,0.0,0.0,0,0
279,CASH_IN,148363.99,C558539055,9750988.37,9899352.35,C301572625,290602.86,142238.88,0,0
212,PAYMENT,12420.58,C1119778167,0.0,0.0,M1875038440,0.0,0.0,0,0
233,PAYMENT,4844.21,C863820535,20316.0,15471.79,M1231125889,0.0,0.0,0,0
331,TRANSFER,321784.25,C1271581781,14847.41,0.0,C470641439,1044215.18,1365999.43,0,0
323,CASH_IN,105118.15,C1826358605,0.0,105118.15,C1309846527,178481.36,73363.21,0,0
10,CASH_OUT,456564.47,C1194792928,72036.0,0.0,C1036816729,2843367.95,3299932.43,0,0
14,PAYMENT,8992.32,C1209889241,11585.49,2593.17,M1468194258,0.0,0.0,0,0
187,CASH_OUT,130066.95,C1132159888,31663.0,0.0,C984786945,72757.95,202824.9,0,0
236,CASH_OUT,95960.95,C757055103,0.0,0.0,C137316386,2961381.25,3057342.2,0,0
298,CASH_OUT,158515.16,C696929736,26664.0,0.0,C1324077695,287066.27,445581.44,0,0
140,CASH_OUT,282016.27,C509130166,120.0,0.0,C1757252775,8114180.7,8396196.97,0,0
345,CASH_OUT,128936.95,C1177265377,128936.95,0.0,C1158181997,1741561.22,1870498.17,1,0
398,CASH_IN,116098.58,C2023534653,1326605.85,1442704.44,C1329518735,1456773.22,1340674.63,0,0
187,TRANSFER,684729.95,C1955034192,31216.0,0.0,C1879520696,259973.85,944703.8,0,0
286,CASH_OUT,180486.96,C1290726187,296051.32,115564.36,C1207606224,1101043.62,1281530.57,0,0
333,TRANSFER,927198.2,C1715255519,0.0,0.0,C355383653,2236476.83,3163675.04,0,0
382,CASH_IN,72915.77,C613385223,13393544.82,13466460.6,C1151950993,282626.11,209710.34,0,0
16,PAYMENT,8690.56,C165383063,0.0,0.0,M423139526,0.0,0.0,0,0
309,CASH_IN,71773.8,C1067087555,1538181.07,1609954.87,C1396315472,1191646.89,1119873.09,0,0
373,CASH_IN,200278.18,C1262656032,2700375.28,2900653.45,C500811255,820326.13,620047.96,0,0
326,CASH_OUT,60156.34,C337500708,353.0,0.0,C1773253148,0.0,60156.34,0,0
397,CASH_OUT,164366.67,C765705040,0.0,0.0,C1668912760,314309.69,478676.36,0,0
282,CASH_OUT,268002.15,C1236825727,155459.0,0.0,C1113791340,150246.28,418248.43,0,0
402,CASH_OUT,4531.16,C1587638230,325.0,0.0,C850357626,58742.26,63273.41,0,0
167,CASH_OUT,175298.24,C803077135,0.0,0.0,C219083914,297855.6,473153.84,0,0
692,TRANSFER,420423.21,C1366639798,0.0,0.0,C936493308,1824805.05,2245228.26,0,0
329,TRANSFER,210465.95,C1958500839,146591.0,0.0,C1513099573,41786.17,252252.12,0,0
42,CASH_OUT,97420.78,C1322480919,19968.0,0.0,C1257411407,404320.32,501741.1,0,0
207,PAYMENT,11413.01,C494525723,0.0,0.0,M1353424398,0.0,0.0,0,0
237,CASH_IN,254087.48,C1688683229,22348.0,276435.48,C2013124319,436009.56,181922.08,0,0
162,PAYMENT,12951.62,C1149115140,155868.91,142917.29,M583162660,0.0,0.0,0,0
207,CASH_OUT,13659.52,C1513942398,0.0,0.0,C1380348902,884923.08,898582.6,0,0
686,CASH_OUT,336988.45,C1166622596,0.0,0.0,C1572711363,2278502.39,2615490.84,0,0
33,PAYMENT,7621.71,C227138285,13954.0,6332.29,M1561074562,0.0,0.0,0,0
350,CASH_OUT,122966.16,C827230450,0.0,0.0,C470760969,9868150.31,9991116.47,0,0
187,PAYMENT,12774.33,C479195257,29972.59,17198.25,M264483217,0.0,0.0,0,0
178,TRANSFER,1508414.21,C1662809391,33756.0,0.0,C36377744,0.0,1508414.21,0,0
331,CASH_OUT,34137.95,C1193724573,304116.0,269978.05,C1566195183,220218.93,254356.88,0,0
12,CASH_OUT,51995.27,C622218940,0.0,0.0,C311900501,349606.72,401602.0,0,0
179,CASH_IN,175722.4,C58986415,5455597.54,5631319.94,C855243649,395121.32,219398.92,0,0
